MGI symbol,430AV2_ForeNonOlig_Enrich,430AV2_ForeNonOlig_Hedges_g,430AV2_ForeNonOlig_Var_g,430AV2_ForeNonOlig_SEg
Mkln1,0.016760555555554706,0.16321380627750373,0.2982864480459021,0.5461479668167671
Mknk1,0.10376768518518463,0.027552481827449824,0.3024169874297728,0.5499184253358276
Mknk2,0.1788549999999991,0.259110422696901,0.32498364975274496,0.5698257878542132
Mkrn1,0.005385222222222582,0.10993336830791213,0.32045492314004725,0.5651131366615216
Mkrn1-ps1,0.0057250000000017565,0.016087670740450345,0.2894391585368913,0.5379955004801539
Mkrn2,-0.014918333333333736,-0.16918901917096718,0.2976397886533653,0.5455262523646397
Mkrn3,0.1670466666666668,0.5258406117295306,0.30094955586165106,0.5485886946170611
Mlc1,-0.5552733333333357,-1.0073495005169246,0.3317097503303015,0.5759424887350312
Mlec,0.6174116666666656,1.8796345304211506,0.4366377899869615,0.6607857368216732
Mlf1,0.017079999999999984,0.04346827025036289,0.289507103427254,0.5380586431117467
Mlh1,0.2530483333333331,0.5488919311316218,0.3019818059915391,0.5495287126179479
Mlh3,0.37839666666666893,1.2442916038188325,0.3539392744612325,0.5949279573706656
Mll1,0.1096133333333323,0.348446016144304,0.29475753975804025,0.5429109484861651
Mll2,-0.19022166666666696,-0.4473449065796687,0.2977666023824296,0.5456799450066216
Mll3,-0.11342166666666564,-0.3589413048293339,0.2947966605020051,0.5429518031114781
Mll5,-0.09215583333333477,-0.7594148020486124,0.316654584755227,0.5625049532239866
Mllt1,-0.25749083333333234,-0.35496696881719497,0.311653699144291,0.558003112865346
Mllt10,0.09044358974358943,0.22703717006020283,0.2933994009417749,0.5416494303682963
Mllt11,-0.12874750000000068,-0.38799593743057836,0.2957009630198279,0.5437839294190662
Mllt3,0.48540500000000186,0.9869472504626821,0.330014411122141,0.5744688077886745
Mllt6,-0.23202083333333334,-0.39390516294948213,0.30020254075064146,0.5478227017492484
Mlph,0.0856825000000001,0.3128473606060669,0.29389447845006145,0.5421153879923313
Mlst8,-0.09348249999999947,-0.18300010480487983,0.29092775787246333,0.5393767320016107
Mlx,-0.03258166666666673,-0.11156985193079016,0.29654801580102313,0.5445516231705222
Mlxip,-0.0467499999999994,-0.09682443377353454,0.28981899844629594,0.5383483987589226
Mlxipl,0.07662999999999975,0.41033086654934675,0.29644385049077815,0.5444665742640021
Mlycd,0.03347833333333483,0.1175498216316517,0.29000412301254874,0.5385203088208919
Mmaa,0.16389499999999835,0.5163495613959725,0.3005374108870563,0.548212924771987
Mmab,-0.43886916666666576,-0.7350815003835266,0.3122292580742845,0.5587572843348567
Mmachc,-0.14937166666666535,-0.5170384763340602,0.3005670740727243,0.5482399785429044
Mmadhc,-0.019849999999998147,-0.08586099792655867,0.2897355459458533,0.5382708852853303
Mmd,0.027541666666667908,0.17866644653952715,0.29164193449363,0.5400350962408057
Mmd2,0.012161666666665738,0.10045470806966116,0.28984883917120413,0.5383761131135038
Mme,-0.16531916666666646,-0.3736140812210232,0.2952451888363065,0.543364680169084
Mmel1,-0.31650500000000026,-0.6199172214215708,0.30544076471460746,0.5526669564164366
Mmgt2,-0.11624333333333237,-0.1408995745807516,0.29025557007719055,0.5387537193163409
Mmp10,-0.16333000000000064,-0.8752150991571143,0.32134510256367227,0.5668730921146922
Mmp11,-1.0198433333333332,-1.1617205070731287,0.3456614803454077,0.5879298260382847
Mmp12,-0.003286666666666438,-0.016080300583213605,0.2894391486584327,0.5379954912993534
Mmp13,-0.052618333333333434,-0.3455865888699304,0.2944046284225955,0.5425906637812666
Mmp14,-0.25911416666666653,-0.5026087279469681,0.3006695401352874,0.5483105777222785
Mmp15,-0.10108500000000031,-0.4110001043865646,0.29646675323088767,0.54448760613157
Mmp16,-0.2346833333333338,-0.7343314585941829,0.3142048272368985,0.5603924494265242
Mmp17,0.14463333333333495,1.440481183853709,0.37588612636550506,0.6130955279281566
Mmp19,-0.2804341666666663,-0.6384044955496163,0.3111279235925641,0.5575573548726791
Mmp1a,-0.1326849999999995,-0.5390938523355148,0.30153763222339514,0.54912442326252
Mmp1b,0.07948833333333338,0.43187770891882,0.29719997279985444,0.5451605018706458
Mmp2,0.07387500000000014,0.06640800783920878,0.29334669853318396,0.5416127391372861
Mmp20,-0.20634499999999978,-0.802396681200359,0.3162550594057037,0.5623655923024663
Mmp23,0.07879800000000063,-0.41310660285420353,0.3240230839490744,0.5690381713792421
Mmp24,0.004158333333333264,0.05759439907510798,0.2899141915566955,0.5384366497933271
Mmp3,0.24136500000000005,0.6760363698627149,0.30847109021302893,0.5554017376755577
Mmp7,-0.048693333333334365,-0.3583082171330944,0.2947777404250264,0.5429343794834016
Mmp8,0.19116500000000025,0.7407098739999312,0.3122888378823555,0.5588280933188269
Mmp9,-0.2515624999999999,-0.8115886018941827,0.31714538391188374,0.5631357110539918
Mms19,0.05807270270270223,0.1207355412096681,0.2926377710148034,0.5409532369212486
Mms22l,-0.09224666666666659,-0.24866352347241918,0.29200477248505236,0.540374659366122
Mnat1,-0.05684833333333472,-0.24018554152876698,0.2918320869206252,0.5402148525546342
Mnd1,0.22518166666666595,0.30380451009536663,0.29327409050374265,0.5415478653856395
Mndal,-0.020399999999999974,-0.03567824855615042,0.2894814137148155,0.5380347699868621
Mnf1,-0.12283666666666981,-0.5861447734369115,0.30374361196512273,0.5511293967528159
Mns1,0.32833500000000004,1.2315749625800518,0.3526274116745664,0.5938243946442133
Mnt,-0.14069916666666593,-0.39169869778888444,0.3737744650399106,0.6102756805661389
Mnx1,0.0027166666666671446,0.01739959421460834,0.28944098906726545,0.5379972017280996
Moap1,0.10046166666666778,0.39046133279229334,0.295780876839228,0.5438574048767084
Mob1a,0.3876727777777784,0.6215032958699616,0.3155648468405515,0.5610329496838111
Mob1b,-0.29164166666666524,-1.1837253401947048,0.34781194469810867,0.589755834814806
Mob2,-0.0857483333333331,-0.16789722443251728,0.29060293623782,0.53907600228337
Mob3b,-0.25538666666666643,-1.5035603347694888,0.3836239446678198,0.6193738327277153
Mob4,0.12556790123456688,0.8910507161276584,0.32421815178294444,0.5692507783558151
Mobp,0.5656729999999996,1.8617591953893682,0.4435695755607928,0.6630288922658523
