MGI symbol,430AV2_NonAstro_Enrich,430AV2_NonAstro_Hedges_g,430AV2_NonAstro_Var_g,430AV2_NonAstro_SEg
Enpp1,0.036744999999999806,0.1674470874935274,0.566004815888758,0.7523329155957209
Enpp2,-0.2592026923076921,-0.5309394715345204,0.5981172664382576,0.7733657151349984
Enpp3,-0.10864999999999991,-0.49270501539684985,0.5928447790246513,0.7699641413888385
Enpp4,-0.4084449999999995,-3.2428918278781698,1.8770434259148772,1.3700523442244377
Enpp5,-0.6592150000000006,-0.7624378049729271,0.635163925806492,0.7969717220871089
Ensa,0.15122400000000127,1.765728636857157,1.0916233858541005,1.015575050133141
Enthd2,0.15707000000000004,0.351355294198424,0.5779313178451577,0.760217941017678
Entpd1,0.29981500000000016,2.829747905712308,2.709285854027719,1.4778978894003318
Entpd2,0.3224600000000004,3.7346487356396594,2.3059501473268638,1.5185355271862637
Entpd4,-0.30379999999999896,-0.8781523513799545,0.6588939440292679,0.8117228246324406
Entpd5,-0.033378409090909056,-0.13858730267987923,0.6156964723881406,0.7838485511573509
Entpd6,-0.2192299999999987,-0.26100220649112055,0.5710152689741541,0.7556555226914934
Entpd7,-0.1570280769230776,-0.7465050113001978,0.8174537257884135,0.8898451250900273
Eny2,-0.0060050000000006305,-0.016872248194376157,0.5629531778801968,0.7503020261152262
Eogt,0.4091799999999992,0.946983167858492,0.6745971400259133,0.8213386268926558
Eomes,0.21166700000000027,0.6944190159736141,0.6626242567768746,0.8110666630497422
Ep400,0.024899999999998812,0.09747746821684891,0.563687732101246,0.7507914038541236
Epas1,0.06043500000000179,0.1310398445009427,0.5646464301058539,0.751429590917109
Epb4.1,0.12611500000000042,0.4589666582652984,0.588831299174902,0.7673534382374929
Epb4.1l1,0.0043321830985906425,0.13045056442431854,0.5944867010297191,0.7709982182620589
Epb4.1l2,-0.2292499999999995,-0.4420417129521285,0.5894043511378797,0.7676598156973674
Epb4.1l3,-0.12663000000000046,-0.5018202654456696,0.5972174814391868,0.7726879604796174
Epb4.1l4a,-0.7745850000000001,-2.795040805857956,1.5390316383013867,1.2405771391982792
Epb4.1l4b,0.13927500000000048,0.3004676888339785,0.6346107893144872,0.7959442778724493
Epb4.1l5,-0.25027499999999936,-1.2921977893648382,0.7712218908549219,0.8781923996795473
Epb4.2,0.20616500000000015,0.6717721172789424,0.6189147299245251,0.7867110482920703
Epb4.9,0.13735500000000123,0.8369861832586727,0.6500682338707401,0.8062680905695947
Epc1,-0.10421000000000014,-0.2099087345633109,0.5680077096057463,0.7536628620316556
Epcam,-0.24917499999999926,-1.3521762347398196,0.7910475712243945,0.8894085513555593
Epdr1,0.008869999999999933,0.18976578592075377,0.6465516176920326,0.8037395739428135
Epgn,-0.014954999999999607,-0.12160125334987486,0.5643483581020325,0.7512312281195668
Epha1,0.06004500000000057,-0.09561599155735034,0.7345484705362808,0.8569028422790386
Epha2,0.18147499999999983,0.46425367737545375,0.589441434619579,0.7677508935973822
Epha3,-0.3527083333333332,-0.18559474158865422,0.7255966346938906,0.8502927744585742
Epha4,0.1293925000000007,0.45417657976618614,0.5962434610779385,0.7719449973340029
Epha5,-0.1876149999999992,-0.751401485848418,0.8382380079882873,0.9139950722512383
Epha6,0.18159999999999954,0.6267716940386071,0.6116053445560032,0.7820520088561906
Epha7,-0.03975272727272771,-0.5934829311399498,0.7559225930573557,0.8658912677320239
Epha8,-0.4097899999999992,-1.7262539839358642,0.9349941021318054,0.9669509305708359
