MGI symbol,430AV2_CerCx_3h_Enrich,430AV2_CerCx_3h_Hedges_g,430AV2_CerCx_3h_Var_g,430AV2_CerCx_3h_SEg
Myoz2,-0.0716639999999984,-0.5550859105829445,0.3515171295174959,0.5928888002968988
Myoz3,-0.21929199999999938,-2.7221067018509144,0.7066043559241942,0.8405976183193682
Mypop,-0.05021599999999893,-0.6414985854146753,0.35668713286556253,0.5972328966706059
Myrf,-0.10594599999999943,-0.7980905676638307,0.36795853882080987,0.6065958611965712
Myt1,-0.08666000000000018,-0.9456333256856523,0.38082223044347646,0.6171079568790833
Myt1l,-0.12901800000000208,-0.7795987609468574,0.36649982251460494,0.605392288119534
Myzap,0.05260399999999965,0.28487626214547174,0.3401688353478099,0.5832399466324386
Mzf1,-0.2985540000000002,-1.7029404596107711,0.48111142156007836,0.6936219586778365
Mzt2,-0.23766599999999904,-3.3620562267441714,0.9012822147005739,0.9493588440103005
N4bp1,0.18964400000000126,1.5859901155063456,0.46187934343530274,0.6796170564629045
N4bp2l1,0.05120999999999931,0.2831083020273734,0.34011862664495224,0.5831969021222183
N4bp3,-0.020069999999999588,-0.14485883362311797,0.3371603151950436,0.5806550742007199
N6amt2,0.025890999999999664,0.1324068461763379,0.34008726485232915,0.5831631636822782
Naa10,-0.13146000000000058,-0.8082937435331841,0.3687780499028555,0.6072709855598698
Naa11,0.072044,0.44417797633403006,0.3459758148441208,0.5881970884356033
Naa15,0.10483350000000202,0.17180116916620924,0.3792211942484786,0.6151940333845929
Naa20,0.05391399999999713,0.3930246977387895,0.3438345317627444,0.5863740544761035
Naa30,-0.15087199999999967,-1.2201391812295963,0.41054809218969257,0.6407402688997256
Naa35,0.11556399999999734,0.9103080173830003,0.3775441454366995,0.6144462103688976
Naa38,0.020176000000001082,0.08675106030333209,0.3364873984342987,0.5800753385848244
Naa40,-0.19931199999999905,-1.6939762097489541,0.47958888107088266,0.6925235599392143
Naa60,-0.03532200000000074,-0.35738272918214586,0.34249723186699504,0.5852326305555724
Naaa,-0.080591200000001,-0.6138876127834241,0.3591217299119257,0.59905068701581
Naalad2,0.024651999999999674,0.5004163951665398,0.3486319395386848,0.5904506241326914
Nab1,0.15115999999999996,0.7303485276763326,0.3670797933467331,0.6055619088428742
Nab2,0.2903260000000003,1.4043458947215348,0.4347204807121725,0.6593333608366655
Nabp1,0.10524066666666698,0.5131079278465202,0.35458914442172884,0.5952391729897443
Nabp2,0.0182840000000013,0.28407270982874305,0.3401459763345833,0.5832203497260561
Naca,-0.050335999999999714,-0.2596183732448566,0.3394811960974264,0.5826501489722854
Nacc1,-0.09919933333333297,-0.5670739063799808,0.37574093710974726,0.6113740107220083
Nacc2,0.11495368421052628,0.5044254400789075,0.35771131638047304,0.5978552963448308
Nadk,0.0272149999999991,0.1531056434677421,0.33731036714346113,0.5807841876878129
Nae1,-0.1366600000000009,-1.2979889353663023,0.4203498749277784,0.6483439480150782
Naf1,0.1917220000000004,1.1708304631168498,0.4046533097792319,0.6361236591883939
Naga,-0.22360399999999991,-1.633234648864931,0.46948388202375874,0.685188938923972
Nagk,-0.09326400000000135,-1.1378185241803378,0.40084266080950715,0.6331213634126613
Naglu,-0.29404399999999953,-1.8434165189061804,0.50602033421992,0.7113510625703178
Nags,-0.16671200000000042,-1.5982676907288222,0.4638340916724932,0.6810536628434599
Naip1,-0.0207139999999999,-0.1185427135136586,0.33681372985747016,0.5803565540747085
Naip2,0.07664599999999933,0.7653767167150441,0.36540118703558616,0.6044842322472821
Naip5,0.029487999999999737,0.20001939310277006,0.3381114989919711,0.5814735582913217
Naip6,-0.1453800000000003,-0.6383078048076444,0.3564829537950288,0.5970619346391367
Nampt,-0.08099899999999982,-0.3143484025903615,0.3434398045067791,0.5860080613030313
Nanog,-0.010416000000000203,-0.0594912390088477,0.3362880714870515,0.5799035018751408
