MGI symbol,430AV2_HypoT_9h_Enrich,430AV2_HypoT_9h_Hedges_g,430AV2_HypoT_9h_Var_g,430AV2_HypoT_9h_SEg
Gm4631,-0.10228400000000182,-0.4019495174076113,0.34418928183832165,0.5866764711817933
Gm4705,-0.16118299999999852,-0.5430824956045104,0.3513838641309813,0.5927577877350803
Gm4724,-0.10228400000000182,-0.4019495174076113,0.34418928183832165,0.5866764711817933
Gm4735,-0.038600000000000634,-0.2001311218385957,0.33811373440752984,0.5814754804869504
Gm4737,-0.22106600000000043,-1.4674655068134304,0.44378386179547097,0.6661710454496435
Gm4799,-0.249328000000002,-0.6787396611962876,0.3591454874951536,0.5992874831791113
Gm4835,-0.05512400000000017,-0.3014631186994596,0.34079321547792973,0.5837733927197087
Gm4836,0.10325399999999973,0.7551040388955413,0.364620216588929,0.6038379058894274
Gm4852,-0.1524560000000026,-0.5920198481434913,0.35363548614090323,0.5946725873460986
Gm4853,0.033741999999998384,0.08981741824767957,0.33651446954214503,0.5800986722464938
Gm4871,-0.05246200000000023,-0.4139285163710029,0.34467795194436607,0.5870927967062499
Gm4879,0.014950000000000685,0.05978179981802635,0.3362898042905852,0.5799049959179393
Gm4887,-0.05010599999999865,-0.14285761179637357,0.33713152597351925,0.5806302833761939
Gm4945,-0.2559320000000014,-1.110886470972909,0.3978145486806433,0.6307254146462178
Gm4950,-0.23577999999999832,-0.6541273247237617,0.35750523895862435,0.59791741817631
Gm4968,-0.25340399999999974,-0.9532170952917631,0.3815422526489344,0.6176910657026977
Gm4978,-0.21195599999999892,-1.0444309598793888,0.39065291260884016,0.6250223296881802
Gm5039,0.1241980000000007,1.3028621397005176,0.42098359886436165,0.6488324890635191
Gm5045,-0.15229800000000182,-0.9752218873486896,0.38366399758930814,0.6194061652819643
Gm5067,0.02841599999999822,0.1444974790589748,0.337155087183831,0.5806505723615805
Gm5070,-0.24173000000000044,-0.9016164822293091,0.37688985632590977,0.613901863716193
Gm5096,0.029534000000000837,0.11648063001647588,0.3367894979695628,0.5803356769745962
Gm5117,0.05337600000000009,0.20458641070641376,0.33820389108339777,0.5815529993761512
