MGI symbol,430AV2_ForeOlig_Enrich,430AV2_ForeOlig_Hedges_g,430AV2_ForeOlig_Var_g,430AV2_ForeOlig_SEg
Shh,-0.03878833333333365,-0.13448336639866393,0.29018194864889396,0.5386853893033428
Shisa2,0.18267250000000024,0.28110805620711343,0.29290697044511527,0.5412068729596229
Shisa5,-0.5475888888888877,-1.0863819143619227,0.34076539928788335,0.5834494780924396
Shkbp1,-0.1301950000000005,-0.3579848950180551,0.2947680906998594,0.5429254927702872
Shmt1,0.25849497619047623,0.6026806099112298,0.3142454145624701,0.5603116332175203
Shmt2,-0.08853666666666626,-0.1932833086909695,0.2909849762147527,0.539430232944681
Shoc2,0.13949416666666625,0.29045112675059037,0.2977876494089326,0.5456468250158226
Shox2,0.06401333333333437,0.1580048623831615,0.2904686053446775,0.5389513942320564
Shprh,-0.06804166666666678,-0.18491321628933607,0.2908530787205836,0.5393079627824751
Shroom1,0.2079316666666653,0.6435323245217467,0.3066839518516625,0.553790530662689
Shroom3,0.050697777777778716,0.0921916285874768,0.2903011612938981,0.5387958597123306
Siae,-0.03758222222222211,-0.22367926925535764,0.3042942885216643,0.5515250169464827
Siah1a,-0.300535,-0.8150495205183991,0.3171077796930337,0.5631232366836177
Siah2,0.011964166666666554,0.029128789737746276,0.2896298313999628,0.5381726592132108
Sidt1,0.23439083333333266,0.5581586059988115,0.30259859769082986,0.5500822437348992
Sidt2,-0.4933966666666656,-0.9501421229936144,0.32704379356759794,0.5718774287971138
Sigirr,0.09727999999999959,0.4939300212399223,0.29959366073406696,0.5473514965121288
Siglec1,-0.02425518518518515,-0.10334844829871981,0.29076636338922796,0.5392257174508104
Siglec5,0.16382833333333346,0.5006508491726481,0.2998721776880346,0.5476058598006732
Siglece,-0.07753833333333304,-0.2579919433396994,0.2922017014401555,0.5405568438565509
Sigmar1,-0.1291864035087713,-0.297449563377053,0.30374298084581414,0.5509410372868216
Sik1,-0.01782166666666729,-0.044586271216317294,0.2895112053048547,0.5380624548366618
Sike1,-0.042258571428570715,-0.5174155790974905,0.3314281781370934,0.5751695021560751
Sil1,-0.47416666666666885,-1.4045753701646837,0.37162970675869983,0.6096143918566063
Sim1,-0.05093166666666682,-0.426556285037304,0.31693786611826236,0.5625481819116338
Sim2,0.0683858333333327,0.3612405827060271,0.3051705167442307,0.5522561022499441
Simc1,-0.23020416666666543,-0.4269130613381309,0.2984895677899532,0.5463078203516614
Sin3a,-0.08927876344086078,-0.2036724152021715,0.29377183098307386,0.5419941286883906
Sin3b,-0.19330125000000065,-0.8576649344834908,0.36828851517010125,0.6004133827771071
Sipa1,0.23022833333333192,0.39089999469250675,0.29579515823275576,0.5438705344406477
Sipa1l2,0.1319083333333353,0.4018616969297337,0.29615724229978263,0.5442033097104267
Sirpa,-0.32627508333333366,-0.9050560354543313,0.32883779613074476,0.5729756266227753
Sirt1,0.18881666666666774,0.5052871613529177,0.3000665044651511,0.5477832641338645
Sirt2,0.027428333333332944,0.2895706554126619,0.29292217317548574,0.5412228498275785
Sirt3,0.2982216666666684,0.8211021128812493,0.3175204029797329,0.5634894879052607
Sirt4,-0.39273000000000025,-1.0080831250353486,0.3317713574465238,0.575995969991565
Sirt7,0.3334950000000001,0.9082567672472005,0.3238004727910781,0.5690346850509888
Sit1,0.02205500000000038,0.06597081318817515,0.2896097141636769,0.5381539874085083
Siva1,0.07902681818181828,0.18870370931023037,0.2941005027623592,0.5422807923064531
Six1,0.08375000000000021,0.2761815239816626,0.29260655108018213,0.5409311888587883
Six2,-0.0991516666666663,-0.5488980083807911,0.3019820839724974,0.5495289655445811
Six3,0.05693722222222183,0.1770476594944927,0.2924940422725304,0.5408179234775868
Six4,-0.040092407407407084,-0.09640327319384376,0.30500078897754623,0.5522184540154325
Six5,0.08369666666666742,0.1746787004603259,0.29069973500541857,0.5391657769234047
Six6,-0.03730333333333302,-0.20138954458091887,0.2911182808500853,0.5395537793863419
Ska1,0.036559999999999704,0.24573482587486883,0.29942332065420285,0.5471384304905382
Ska2,-0.35395833333333293,-1.0258135214836448,0.3352898105484536,0.5788142951734336
Ska3,0.5386716666666662,1.0778452567998953,0.3378346412225654,0.5812354438801589
Skap2,0.047618333333334206,0.18537924572162592,0.290860269019994,0.5393146289690222
Ski,0.014969999999999928,0.12956018420937768,0.29012778471116274,0.538635112772239
Skil,-0.3238009999999994,-0.6558060205242963,0.3086045884471121,0.5554494216141641
Skiv2l,0.1422150000000002,0.5311428626415667,0.3011830721779423,0.5488014870405714
Skiv2l2,-0.01190333333333271,-0.06966217129809997,0.2896305754102293,0.5381733692874716
Skp1a,0.06612266666666713,0.8386477038172538,0.3238734463499107,0.5687516243147629
Skp2,0.012019333333333115,0.030454813687435446,0.3024482701247165,0.5497125125264951
