MGI symbol,430AV2_ZT12_AK_Enrich,430AV2_ZT12_AK_Hedges_g,430AV2_ZT12_AK_Var_g,430AV2_ZT12_AK_SEg
Arfrp1,0.15664833333333306,0.7410874814900381,0.5322826411405872,0.7292910459750017
Arg1,0.0817266666666665,0.8096765674290912,0.5362980119869796,0.7323237071042966
Arg2,-0.015489999999999782,-0.054705980830415064,0.481916062028218,0.6942017444721801
Arglu1,-0.028166666666665563,-0.24216984366781172,0.48655385276517427,0.6975341230113221
Arhgap1,0.04094833333333314,0.18622509426727343,0.5162866882244015,0.7184072758829171
Arhgap10,0.005326666666666924,0.054212671537747836,0.48191158447960486,0.6941985195026023
Arhgap12,0.09483120000000063,0.5779190011335646,0.5112927511245907,0.7149803978746903
Arhgap17,0.028819999999999624,0.18463196685666028,0.48450741359877975,0.6960656675909104
Arhgap18,0.044466666666665766,0.19681740774714476,0.4848947576660254,0.6963438501674482
Arhgap20,0.01866999999999841,0.22243318772299575,0.485789710250051,0.6969861621653984
Arhgap21,-0.008539999999999992,-0.06768624732635557,0.4820484523397603,0.6942970922737328
Arhgap23,0.22055666666666562,0.6456543175941043,0.5171216501152247,0.7190782681967569
Arhgap24,0.1130366666666669,1.2292491543854236,0.6075877902964398,0.7794791788729444
Arhgap27,-0.1044900000000002,-2.1066276555699197,0.8514900066010013,0.9227621614484424
Arhgap31,0.003819166666666929,-0.011819469812396607,0.48660426721288835,0.6975603283215202
Arhgap39,0.17417904761904687,0.6995092257550022,0.5246887604366728,0.724240949549227
Arhgap4,0.006286274509803308,0.08753161128618443,0.48712139015952843,0.6978916339177792
Arhgap5,0.20884333333333416,1.4028271660665659,0.6456603381545293,0.8035299236210991
Arhgap6,-0.0665,-1.0774043409520648,0.6947426493940388,0.8234968833976327
Arhgap8,0.03908666666666605,0.26809390590444826,0.4876561951985918,0.6983238469353541
Arhgap9,-0.1100399999999988,-0.8822229356225078,0.5465264423448662,0.739274267335788
Arhgdia,0.059206666666668184,0.7789115708184814,0.5322252695962428,0.7295377095094144
Arhgdib,0.009689999999999976,0.07040852555205301,0.4820797800392011,0.6943196526378906
Arhgdig,-0.08160999999999952,-1.6205637803947328,0.7005189138606056,0.8369700794297282
