MGI symbol,430AV2_WB_AK_Enrich,430AV2_WB_AK_Hedges_g,430AV2_WB_AK_Var_g,430AV2_WB_AK_SEg
Olah,-0.023913333333333675,-0.1592535504582825,0.48378014111113066,0.6955430548220078
Olfm1,-0.08331600000000154,-0.37615285064378245,0.5125665501640205,0.7157026709102702
Olfm3,0.08811166666666614,0.509194087045676,0.5046148859777234,0.7103220621902789
Olfml2b,-0.004560000000000564,-0.041996232980580105,0.48181364029871315,0.6941279711254353
Olfml3,0.10816933333333303,0.5228051547763913,0.5099052743140928,0.7139369456319351
Olfr1002,-0.09886000000000017,-0.9947643487234383,0.5641296757909304,0.751085664748656
Olfr1264,-0.08947666666666665,-0.3957631396068902,0.49471903855595845,0.7033626650284748
Olfr140,0.002650000000000041,0.010113268528890306,0.48167518985002805,0.6940282341879386
Olfr15,0.020463333333333722,0.15625103208255034,0.4837011987522385,0.6954863037847967
Olfr1507,0.09612000000000043,1.043995705343497,0.5724939193979721,0.7566332793354863
Olfr1508,-0.06111666666666693,-0.5483329597757892,0.5067224195647063,0.7118443787547292
Olfr1509,0.07243666666666693,0.9247528275774386,0.5529306493427056,0.7435930670351262
Olfr154,-0.09886000000000017,-0.9947643487234383,0.5641296757909304,0.751085664748656
Olfr155,0.19412333333333365,1.2764670385734118,0.617447341713698,0.7857781758955246
Olfr156,0.0654566666666665,0.31663787229866674,0.49002162851448544,0.7000154487684436
Olfr157,0.1120033333333339,0.514592463929851,0.5037337836611162,0.7097420543134781
Olfr159,0.10109333333333304,0.6913970414480765,0.5215024890769293,0.7221512923736475
Olfr16,0.012413333333333387,0.06599435797138485,0.48202960460700456,0.6942835188934018
Olfr160,-0.11826333333333316,-0.8754945471538796,0.5455408918413479,0.7386074003429345
Olfr17,0.1647333333333334,1.1073278578335422,0.5838479153945184,0.7640994146016069
Olfr2,-0.05147000000000013,-0.2826591330446435,0.4883246821244624,0.6988023197761026
Olfr480,-0.024719999999999853,-0.44229995764539437,0.4979691043777597,0.7056692599070472
Olfr482,0.06650000000000134,1.114976130480255,0.5852643142950602,0.7650256951861553
Olfr49,-0.16418333333333335,-1.228173587351032,0.6073675300555585,0.7793378792639034
Olfr544,0.02540999999999949,0.09643723501634384,0.48244167835813306,0.6945802173673916
Olfr64,0.06590999999999969,0.33150281592686537,0.4908245097472867,0.7005886879955219
Olfr65,-0.014953333333333152,-0.31572495590816635,0.489973520648601,0.6999810859220419
Olfr66,-0.1604600000000005,-0.5427868103782881,0.5062181267933862,0.7114900749788335
Olfr67,0.07218666666666707,0.7330990820433716,0.5264528553410694,0.7255707100903878
Olfr672,-0.035013333333332675,-0.14744488964597063,0.48347833295689263,0.6953260623311143
Olfr68,-0.16739666666666686,-0.8763802673214776,0.545670197745872,0.7386949287397823
Olfr69,-0.05651333333333319,-0.34192809925654516,0.4914095687550994,0.7010061117815588
Olfr690,0.024526666666666586,0.20280146465242177,0.4850940361720972,0.696486924623928
Olfr70,0.0316466666666666,0.13732266397351373,0.4832381261700651,0.6951533112703018
Olfr71,0.054269999999999374,0.17673419837274917,0.48426958140620474,0.6958948062790846
Olfr73,0.00558000000000014,0.03247918477003809,0.4817545747869438,0.6940854232635517
Olfr74,0.1314333333333333,0.8128096467285111,0.5367216268179105,0.7326128765029389
Olfr747,0.0905733333333334,0.5631572780902923,0.5080955099888388,0.712808185972102
Olfr749,0.0905733333333334,0.5631572780902923,0.5080955099888388,0.712808185972102
Olfr78,-0.11094499999999985,-0.43961011407633865,0.5012045279782724,0.7078800680553821
Olfr870,0.057076666666666664,0.35000539703262984,0.49187531482933067,0.7013382314043137
Olig1,0.07445333333333437,1.1531171373440052,0.5924732610363693,0.769722846897745
Olig2,0.2138833333333343,0.7285166640396512,0.5258947108152884,0.7251859836037156
Olig3,0.09682000000000013,0.5356227920178986,0.505574314610754,0.7110374917054332
Olr1,-0.0010999999999996568,-0.009451822899756615,0.4816741114130106,0.6940274572471975
Oma1,-0.13456666666666628,-0.3782605065993431,0.4935900842377326,0.7025596659627797
Omd,0.16958999999999946,1.0367182892734959,0.5712320676095136,0.7557989597832969
Omg,-0.2334766666666681,-3.2712014048323197,1.3733965525814118,1.1719200282363178
Omp,-0.0070516666666669,-0.07066992242538869,0.4927798136244338,0.7019763380192343
Omt2a,0.11081333333333321,1.2334770680790894,0.6084554731230821,0.7800355588837485
Omt2b,-0.1933266666666671,-1.6477745055245037,0.7079300684213767,0.8413858023649893
Onecut1,0.10639500000000002,0.8436898819182925,0.5671771661208223,0.7512818762529384
Onecut3,0.00671666666666626,0.024363678685196073,0.48171613240325617,0.6940577298778944
Oog1,0.07659333333333329,0.43397336956588917,0.4973610737910309,0.7052383099286588
Oosp1,0.05811333333333346,0.5584485718933031,0.5076554006208057,0.7124994039441758
Opa1,-0.053748205128205113,-0.28589122816792245,0.5229240066055817,0.7224188477278553
Opa3,0.0922499999999995,0.6581186678113676,0.5242776332935626,0.7237600085470973
Ophn1,-0.10803888888888835,-0.4976659035223445,0.5026627272790856,0.7089758441172359
Oplah,-0.1482533333333329,-0.9337644773899643,0.554326341602946,0.7445309540932104
Opn1mw,0.17136333333333376,0.8463935983406935,0.5413651769426755,0.7357752217509607
Opn1sw,-0.08954499999999999,-1.084296511656398,0.5798373161641021,0.7614487772104955
Opn3,0.15897333333333297,1.3048647582262363,0.6235560031050678,0.7896556231073567
Opn4,0.03320333333333281,0.1440165389946893,0.48339506362533396,0.69526618185076
Oprd1,0.010720000000000951,0.06866822574096176,0.48205961043553425,0.6943051277612273
Oprk1,-0.02412666666666574,-0.12535295951075448,0.482976113704842,0.6949648291135617
Oprl1,-0.10552507936508014,-1.4046528079301737,0.7677783240048722,0.8554706585963741
Oprm1,-0.030188550724638104,-0.2575501866353988,0.49182812777272483,0.7012767140010141
Optc,-0.029873333333332752,-0.2002933254154466,0.4850097846838314,0.696426438817361
Orai1,-0.142046666666666,-1.6839496299536352,0.7314708139821814,0.852692333333931
Oraov1,0.1636833333333323,0.8572658313968806,0.5429087254733821,0.7368234018225684
Orc1,0.0832533333333334,0.28825653327732303,0.4885909857480883,0.6989928366929723
Orc2,-0.08645555555555529,-0.4938576828502233,0.5022979483919858,0.7087204853529905
Orc3,-0.19810333333333396,-2.798547467988265,1.1343223275486276,1.065045692704603
