MGI symbol,430AV2_Astro_Enrich,430AV2_Astro_Hedges_g,430AV2_Astro_Var_g,430AV2_Astro_SEg
Car12,-0.6460299999999988,-0.3900787908063295,0.24499893470084216,0.4949736707147585
Car13,0.20560008928571438,0.22289132155605915,0.2448813620233832,0.49483234945096827
Car15,0.1367178571428571,0.25666703255223045,0.24212281811958353,0.4920597708811233
Car2,-0.2286083928571454,-0.2629303285411902,0.24223129785517053,0.49216998877945667
Car3,-0.17319098214285722,-0.23070070164703868,0.24232830061091326,0.4922638600244442
Car4,-0.006137857142858749,-0.004352943413336871,0.23992751753682326,0.48982396586612953
Car5a,0.22061750000000035,0.9350457452250023,0.2690705707883906,0.5187201276106322
Car5b,-0.5490610714285715,-0.2605652528143012,0.24219002763208397,0.4921280601958031
Car6,0.16438607142857187,0.5711904551279728,0.2508021704672546,0.5008015280200876
Car7,0.3854785714285711,0.6550954548780908,0.2542318877663424,0.5042141288840906
Car8,-0.4129412499999989,-0.2363106811730333,0.24179428654354,0.4917257777846639
Car9,-0.32385660714285747,-0.866253305105525,0.26494004555315276,0.5147232708486694
Card10,-0.12266517857142833,-0.35986477652140986,0.24424364117897138,0.49421011845061547
Card14,0.014337499999999004,0.03957108744976205,0.23997908163167647,0.48987659837113723
Carf,0.13865375000000046,0.15490204680439862,0.24072670740308433,0.49063908059090067
Carhsp1,0.03312044642856993,-0.020167629800822685,0.24024971957815866,0.4901527334669227
Carkd,0.011637321428572989,0.01343231239397831,0.23993290016681956,0.4898294602888026
Carns1,-0.1034282142857137,-0.21214365895320852,0.24142705033407977,0.49135226704888596
Cars,0.20843515306122398,0.5158035698171275,0.24991818863404616,0.49986447730399386
Cartpt,-0.12352428571428486,-0.11199204957054096,0.2403449599051783,0.4902498953647806
Casc3,0.011909107142857422,0.031205973764238486,0.23995934635956373,0.4898564548513817
Casd1,-0.06303345238095422,-0.15199053611176597,0.2412094378753459,0.49112993022954415
Cask,-0.019312018950436414,-0.10041635768654464,0.24216623919513203,0.492098084566755
Caskin2,-0.213014642857142,-0.19962941997340844,0.24125528277690855,0.4911774453055724
Casp1,0.03828732142857216,0.06036820644867939,0.24004836327793894,0.4899473066340287
Casp12,-0.04212882936507927,-0.12111470491777873,0.24072802069618093,0.49063988287739035
Casp14,0.18207892857142927,0.9967051942455495,0.27304092740747987,0.5225331830682908
Casp2,-0.1651742857142855,-0.3041398659080982,0.24301025453409777,0.4929607028294424
Casp3,0.11108607142857085,0.11291572292270993,0.24035188461571652,0.4902569577433007
Casp4,0.05314625000000062,0.18348902812000176,0.24104916004762533,0.49096757535261465
Casp6,-0.23860410714285774,-0.1606827561600895,0.2407875175371847,0.49070104701048345
Casp7,-0.330700267857142,-0.31013577526407515,0.2435144222774245,0.4934667168752613
Casp8,-0.45964642857142834,-0.5205178753716705,0.24895818121899255,0.4989570935651607
Casp8ap2,0.10781035714285814,0.1628186033354455,0.24081054918601474,0.49072451455578897
Casp9,0.007134392857141947,-0.2011246331633667,0.25129335668913677,0.5011629222894304
Casq1,0.3958541071428572,0.6765533787481101,0.25518436840946074,0.5051577658607861
Casr,0.05396000000000001,0.1914036609007482,0.24185127137971216,0.4917801547729152
