MGI symbol,430AV2_Hipp_Enrich,430AV2_Hipp_Hedges_g,430AV2_Hipp_Var_g,430AV2_Hipp_SEg
Rnf34,-0.03531708333333583,-0.5852722672843722,0.22456930582704562,0.4738874400393469
Rnf38,-0.16837374999999888,-1.4049417805678726,0.2725492405309584,0.5220624871899516
Rnf4,-0.06657312091503276,-0.6250692441456006,0.2324123982598896,0.4816732050082731
Rnf41,0.02797792438271671,0.26799753531352527,0.2184496997312272,0.467375646165537
Rnf43,-0.05249527777777807,-0.2804563391187233,0.21680789792409522,0.4656263501178764
Rnf44,-0.05169972222222263,-0.33776618232470745,0.21784996368204612,0.4667440022989541
Rnf5,0.013799027777777084,0.12531172747267444,0.21495634706792785,0.46363385021795794
Rnf6,0.05238250000000164,0.6601550106449354,0.23317234981179052,0.48262776592885376
Rnf7,0.02512312499999947,0.2676995605976879,0.2219389721731891,0.4710501862607488
Rnf8,-0.04666449074074149,-0.6402083243579898,0.2349492240033331,0.4844417240543976
Rnft1,0.08590319444444461,0.4578505886324464,0.22065999802289527,0.46974460936012374
Rngtt,0.14953191666666682,1.7420465018927274,0.30385969592565687,0.5512054835685143
Rnmt,-0.04732999999999876,-0.6476711602469137,0.22683207950243953,0.4762689151125019
Rnmtl1,-0.025861388888888115,-0.25511371455010706,0.21640869937114454,0.46519748427000823
Rnpep,0.18408472222222194,1.1662657978540791,0.2544996671326933,0.5044796003137226
Rnpepl1,-0.0547740277777784,-0.4770994534239282,0.2211893135213168,0.47030767963251124
Rnps1,-0.08126458333333453,-0.8127892909968571,0.23392468243607448,0.4836576086820869
Rnu7,0.03473083333333271,0.35776296074301156,0.21825903256902843,0.4671820122490039
Robo1,-0.10913541666666937,-0.6795875597130134,0.22807800066423678,0.4775751256757797
Robo4,0.10740638888889009,0.7651327969449763,0.2317129696537707,0.48136573377606623
Rock1,0.029781770833332777,0.20799068712144503,0.21631330897722073,0.46509106728096516
Rock2,0.03556777777777853,0.5033467772229302,0.2262868011780769,0.4755457634948549
Rogdi,-0.05117611111111131,-0.5651761144923562,0.2238893179900011,0.4731694389856567
Rom1,0.04778763888888804,0.3500608639689312,0.21809868763970694,0.4670103720900714
Romo1,-0.09479527777777896,-0.8652505148085826,0.23651385954834933,0.48632690605018897
Ropn1,0.029674583333332727,0.24274479006671326,0.2162275824815263,0.46500277685356495
Ropn1l,-0.047378750000000025,-0.4527276792145279,0.2205227977292451,0.4695985495391197
Ror1,-0.044214444444445,-0.2808374188427178,0.2168141890320471,0.4656331056014457
Ror2,-0.022093333333333298,-0.15447422614550602,0.21519632522972393,0.46389257940790984
Rora,-0.01689796111110951,-0.2657781456245531,0.2307028324241439,0.4801300634139752
Rorb,0.11916097222222177,1.099202667967926,0.2500311551922108,0.5000311542216253
Rorc,0.020059722222222298,0.16034278678142402,0.2233070807649312,0.47252491626298815
Ros1,0.0015998611111109895,0.010812197771311406,0.21449793161435315,0.4631392140753719
Rp1,-0.01159819444444432,-0.14042910381805873,0.21507450307254422,0.46376125654537403
Rp2h,0.047763134920635074,0.2589031949902595,0.2164719143147439,0.4652653652199722
Rp9,-0.039058750000000586,-0.41934737076292067,0.2196666173127393,0.4686860541052393
Rpa1,-0.09874250000000018,-1.5106976206932006,0.2818482332532417,0.5308422061235567
Rpa2,0.03781158730158778,0.2780946659192666,0.2167781319156565,0.46559427774118717
Rpa3,0.06628361111111136,0.5587741921687723,0.2236776873265066,0.4729457551627952
