MGI symbol,430AV2_ZT12_D2_Enrich,430AV2_ZT12_D2_Hedges_g,430AV2_ZT12_D2_Var_g,430AV2_ZT12_D2_SEg
Eif4enif1,0.10234666666666747,1.5187006982616884,0.6738709842417115,0.8208964515952737
Eif4g1,0.053081827956988785,0.912671471313599,0.679327684601793,0.8097743958191866
Eif4g2,0.12849484848484882,1.809199195516024,0.9468546655469782,0.9572954100878784
Eif4g3,0.11399333333333139,1.8591629893404609,0.7697072517444464,0.8773296140815301
Eif5,-0.16359600000000096,-2.3534152296177906,1.6186858748197974,1.0837927922765949
Eif5b,0.06494111111111096,0.6844482402230094,0.6398253395446802,0.7990126925733231
Eif6,-0.09665666666666795,-1.5610003304870206,0.6847268359817155,0.8274822269884202
Elac1,0.12577666666666687,0.7126472840376138,0.5239888459538489,0.7238707384290711
Elac2,-0.03569876543209924,-0.4322154737067952,0.5356579315931583,0.7306851993749269
Elane,-0.09482999999999997,-0.7028379836739106,0.5228317692745673,0.72307106792802
Elavl1,0.15794666666666668,1.2174449286421893,0.6112281559486276,0.78102735071159
Elavl2,-0.006734137931033746,0.30078514835062264,0.5581053417173945,0.7441846397926372
Elavl3,0.05096555555555504,0.3576112692335361,0.49327191085547667,0.7023199486037088
Elavl4,0.1807926562500001,3.0677293009521853,1.9115323616943973,1.2236273595919562
Elf1,-0.14382666666666655,-0.8922609883103437,0.5480108059383793,0.7402775195414077
Elf2,0.013917681159420622,-0.005506448702187928,0.4886223672597066,0.6990045918678005
Elf3,-0.0867333333333331,-0.7404490944479623,0.5273554051224005,0.7261924022753202
Elf4,-0.0883500000000006,-0.6887102897310281,0.5284994709639409,0.7266033895014825
Elf5,-0.07210121212121212,0.15146670350069336,0.5061794726603638,0.7114346184969654
Elk1,0.004763333333333897,0.1287718275847329,0.4928444309948261,0.7020092331648127
Elk3,0.06897588235294073,0.36866705686176254,0.5271419880269208,0.7241417162218002
Elk4,0.11249333333333311,0.7363940597275164,0.5268563509334977,0.7258487107748403
Ell,0.19745999999999952,2.095758179986498,0.8476835290816932,0.9206973058946644
Ell2,0.08096333333333305,0.704917131063947,0.5230756801389521,0.7232397113951584
Elmo1,-0.15286090909090932,-0.4422673469106032,0.5613322404268987,0.7483858919866492
Elmo2,0.04204333333333388,0.9065147693040575,0.5501474189138656,0.7417192318619394
Elmo3,-0.390693333333334,-3.0498979141237554,1.2568231072147027,1.1210812223985838
Elmod3,-0.12499999999999911,-1.2295697667934125,0.6076534842843672,0.7795213174021395
Eln,-0.13401333333333287,-1.4846201923524385,0.7258242528869396,0.8427226922902255
Elof1,0.181636666666666,2.1259027995280326,0.8582885594200937,0.92643864309521
Elovl1,0.044476666666667164,0.41376438373798324,0.49593341377083916,0.7042253998336322
Elovl2,-0.10972333333333495,-2.066557163995643,0.8375548760051427,0.9151802423594724
Elovl3,-0.8910666666666667,-0.7088764963788159,0.5235421572598588,0.7235621308912309
Elovl4,0.05238166666666677,0.7064416928708405,0.5840610522275377,0.7613795034367408
Elovl5,-0.27516999999999925,-0.45267259663001763,0.4987427066449801,0.7062171809330188
Elovl6,0.14582000000000006,0.9316208200703546,0.5901644045649874,0.7653088891898143
Elovl7,-0.19008833333333275,-0.7780277692277763,0.5375606341665442,0.7328360820902006
Elp2,-0.07606333333333382,-0.8659315796187068,0.5441531250484124,0.7376673539261531
Elp3,-0.12489333333333263,-4.89101440215468,2.4751684901737083,1.5732668210363137
Elp4,-0.08778833333333358,-0.6957135547579238,0.6396771107789706,0.7950905336201066
Elp5,-0.022119999999997475,-0.39084208414907357,0.4943964612284992,0.7031333168244122
Eltd1,0.38952666666666635,3.4222659324322677,1.4868256101816937,1.2113738278847241
Emb,0.053601666666667214,0.7221111347425209,0.5276290248657766,0.7262384870587147
Emc10,0.11127666666666691,2.9343742066388874,1.1992126653822999,1.0950856886026317
Emc2,-0.07437333333333385,-1.6695144912837625,0.7139398863838733,0.8449496354125927
Emc4,-0.011666666666666714,-0.3866856214684466,0.49412714748753644,0.7029417810085956
Emc6,0.1035506666666656,4.084634508886586,4.22505029846329,1.6729763141622318
Emc7,-0.07638166666666679,-1.3013690043575852,0.7130340879156072,0.8334879732554638
Emc8,0.15101999999999904,1.5859442197833342,0.6912682556886808,0.831425436036618
Emc9,-0.13798333333333446,-3.583832276760722,1.551987815662662,1.2457880299885136
Emcn,-0.06332333333333295,-0.34935950077915834,0.4918376717320551,0.7013113942693753
Emd,0.06469444444444505,0.9145217875225908,0.5601480025658491,0.7475337868508061
Eme1,-0.013726666666666887,-0.20952598994614186,0.48532509503857585,0.6966527793948545
Emg1,0.07348666666666759,0.9644204136268975,0.5591755611850229,0.7477804231089651
Emid1,0.013270000000001225,0.08194760301135955,0.4822262841366089,0.6944251465324458
Emilin1,-0.0008814285714276845,-0.050414631577369515,0.4877959887810691,0.6984182217419119
Emilin3,-0.07368000000000041,-1.8925068190698402,0.7801318383521536,0.8832507222483057
Eml3,-0.25485000000000024,-2.121778956769238,0.8568288284490629,0.9256504893581934
Eml5,0.002474999999999117,0.04355744269321292,0.5715071201528233,0.7559644892172688
Eml6,0.1996966666666662,3.0919033295995706,1.2783221832990759,1.13062910952225
Emp1,0.11684666666666654,1.1192879024435365,0.5860671173797042,0.7655502056558433
Emp2,-0.11911999999999967,-1.1013281925649434,0.5911458430414875,0.7679229692085799
Emp3,-0.20057666666666663,-2.1604722682111346,0.8706367018091137,0.9330791508811638
Emr1,0.06953000000000031,1.425739256766041,0.6510610356903151,0.8068835329155721
Emr4,0.03176666666666672,0.4606420998618065,0.5226766943136115,0.7224169933746035
En1,0.17710333333333272,1.7962769204416134,0.750550897909267,0.8663434064557004
En2,0.04838999999999949,0.37681228747535417,0.4934989583327007,0.7024948101820402
Enah,0.14939250000000093,2.1298667417387644,1.543253811019528,1.0761722345831368
Enam,0.002883333333333127,0.020410174500951936,0.4817013812685965,0.6940471030618862
Enc1,0.19627888888888942,2.731002552601372,1.118871257901271,1.053709935579976
Endod1,0.06477222222222216,0.1979940359052646,0.5042643279870656,0.7100628425182569
Endog,0.016519999999999868,0.24808660351615422,0.5123565835475276,0.7156120309253785
Endou,-0.0012350000000003192,-0.06795356329461202,0.4855243268944952,0.6967937818565979
Eng,-0.00052523809523792,0.766860276855521,0.8810021746146431,0.9345509593825411
