MGI symbol,430AV2_WB_D2_Enrich,430AV2_WB_D2_Hedges_g,430AV2_WB_D2_Var_g,430AV2_WB_D2_SEg
0610005C13Rik,-0.018220000000001235,-0.16372795422276912,0.4839005702494977,0.6956296214577824
0610008F07Rik,-0.14162666666666723,-0.6032475353884871,0.511992299079357,0.7155363715978084
0610009B22Rik,-0.014009999999998968,-0.07599190649229051,0.4821478974876944,0.6943687042830303
0610009D07Rik,-0.06521333333333335,-0.5749900859024013,0.5321506819285865,0.7286705104096501
0610009O20Rik,-0.20008333333333272,-1.4824735904194386,0.664810662190925,0.8153592227913565
0610010K14Rik,-0.6906366666666681,-1.375356747931138,0.6393005153399762,0.7995627025693334
0610012G03Rik,0.11069888888888801,1.9175497273390674,1.152717022832502,1.0009453531498427
0610031J06Rik,-0.0048633333333327755,-0.04766627149667672,0.4818560061198662,0.6941584877532408
0610037L13Rik,-0.09145666666666674,-0.4717442320780368,0.5002118850415745,0.7072565906667643
0610040J01Rik,-0.14987666666666577,-0.8100217337667194,0.5363446007645368,0.7323555152823913
1100001G20Rik,-0.05655666666666681,-0.911969890972384,0.5509740901700151,0.7422762896455841
1110001A16Rik,0.0843499999999997,0.5404199530675488,0.506004477139461,0.7113399167342298
1110001J03Rik,0.062323333333335285,0.5440372506272143,0.5063313775058348,0.7115696575219005
1110004E09Rik,0.031796491228070926,0.19579839043343988,0.48495820691374886,0.6963888848935714
1110004F10Rik,-0.17547333333333448,-1.0891433751331212,0.5805194409663638,0.7619182639669191
1110007C09Rik,0.030240000000000933,1.448862258345562,0.6566001536381834,0.8103086779975786
1110008F13Rik,0.05472999999999928,0.8201535713172624,0.5377209900453715,0.7332946134026702
1110008J03Rik,0.10437333333333232,0.7767347698464233,0.5319430752240313,0.7293442775699494
1110008P14Rik,0.18227666666666842,2.3040590886281938,0.9240573569908485,0.9612790214036966
1110012L19Rik,-0.1301866666666669,-0.6327182077381064,0.5150276942002767,0.7176542999246063
1110032A03Rik,-0.035836666666667405,-0.2687089410523877,0.4876837079167912,0.6983435457686934
1110035H17Rik,-0.010293333333333266,-0.06750242276089752,0.4820463814232159,0.6942956008957683
1110037F02Rik,0.04420333333333337,0.1934561568556601,0.6537720821353752,0.8080624646497241
1110038F14Rik,-0.06605000000000061,-0.6250442748588387,0.5142233621278175,0.7170936913178204
1110051M20Rik,-0.18262,-1.520025496734985,0.6742064592270364,0.8211007607029945
1110057K04Rik,0.30690166666666574,1.6323641681988397,0.749589799101482,0.8577560351983464
1110058L19Rik,-0.1442266666666665,-0.8859696019412231,0.5470785112969907,0.7396475588393372
1110059E24Rik,-0.1750399999999992,-0.9968922155926828,0.5644828407924406,0.7513207309747553
1110059G10Rik,-0.0527299999999995,-0.19787088592883953,0.48492940729152184,0.6963687294038424
1190002N15Rik,-0.1837266666666677,-0.5477347333425338,0.5069146731346332,0.71197085329658
1190005I06Rik,-0.06283999999999956,-0.4455149380647805,0.49820696333657205,0.7058377740930079
1200011I18Rik,-0.05216999999999983,-0.4263447395141402,0.5374351888170106,0.73231676542211
1200014J11Rik,-0.07371333333333308,-1.111960383204681,0.5847046578180584,0.7646598314401367
1300017J02Rik,-0.016003333333332037,-0.07627000690063446,0.4821514261627185,0.6943712452015266
1500015O10Rik,0.24973333333333425,1.1667344364230032,0.5951057704279419,0.7714309887656458
1600012H06Rik,-0.1779016666666675,-0.5656029403671486,0.5478747659520139,0.7388799254542865
1600014C10Rik,0.0021766666666662715,0.0310471302081791,0.48174699369118024,0.6940799620297219
1600015I10Rik,-0.09677000000000024,-0.599245167750329,0.5115912309226766,0.7152560596895887
1600029D21Rik,-0.020403333333333995,0.1778325802795313,0.5468694569396745,0.7393022234150606
1700001C19Rik,-0.01306974358974323,-0.09850061071942028,0.49378739616283046,0.7026782163679849
1700001F09Rik,-0.05058666666666678,-0.32329685354039267,0.4903767379590931,0.7002690468377801
1700001G17Rik,0.12960333333333374,0.28585893673730395,0.48847627764271506,0.6989107794580901
1700001K19Rik,0.1731466666666659,0.38443155733731926,0.49398230185639963,0.7028387452726262
1700001O22Rik,-0.07843333333333291,-0.4681563465289847,0.4999308637329473,0.7070578927732489
1700008F21Rik,0.022976666666666645,0.4968697856675108,0.5022399653257731,0.7086889058859135
1700010I14Rik,-0.05536666666666645,-0.3239357316777329,0.4934846866220224,0.7024567162402893
1700011A15Rik,0.09900666666666602,0.31280507427448645,0.4898205845409888,0.6998718343675425
1700011H14Rik,-0.049056666666666526,-0.30518480600728665,0.48942814715147537,0.6995914144352225
1700012L04Rik,0.5339199999999993,1.1780017955768725,0.5973073525318612,0.7728566183528878
1700016D06Rik,-0.11136000000000079,-0.8726182842004956,0.5451218891600846,0.7383237021524398
1700017B05Rik,-0.163216666666667,-1.0322197825628483,0.5704564732928411,0.7552856898504308
1700018B24Rik,-0.018006666666666504,-0.0730787175021048,0.48211170824597926,0.6943426446978317
1700018F24Rik,-0.14235666666666713,-0.8589224154510258,0.543145642980352,0.7369841538190302
1700019G06Rik,-0.03359000000000023,-0.22054235179396645,0.4857199107445678,0.6969360879912646
1700019G17Rik,-0.11767952380952355,-0.5610580510269593,0.6147758257488206,0.7825824473078119
1700019L03Rik,0.12858333333333238,0.584991381562434,0.5101845763751937,0.7142720604749941
1700019N19Rik,0.017093333333332517,0.1158251558113582,0.4827846222265604,0.6948270448295463
1700020I14Rik,0.08064000000000071,0.2122654301985232,0.4854213844047803,0.6967218845456057
1700021F05Rik,-0.0065099999999986835,-0.040920231557355864,0.48180620544589225,0.6941226155701111
