MGI symbol,430AV2_ZT6_B6_Enrich,430AV2_ZT6_B6_Hedges_g,430AV2_ZT6_B6_Var_g,430AV2_ZT6_B6_SEg
Fabp9,-0.09710666666666645,-0.4734122228605877,0.5725421216087137,0.7566651317516314
Fadd,-0.05612666666666666,-0.4664658514365599,0.5718892473889768,0.7562335931370524
Fads1,-0.1445383333333332,-1.1509937696675947,0.6826088741146954,0.8262014730770548
Fads2,0.1030816666666663,0.3106520391782586,0.5597806772778944,0.7481849218461265
Fads3,0.07910916666666656,0.34142301240321116,0.5623145404770885,0.7498690604477888
Faf1,-0.12783833333333483,-0.8190079023107929,0.617207602738086,0.7856256123231256
Fah,-0.07576666666666743,-0.42276981227144456,0.5680036397501366,0.7536601619762959
Fahd1,0.060691666666666144,0.8147253710600099,0.6165079513582205,0.7851802031115026
Faim,-0.021583333333332178,-0.22093924095107545,0.5550116231525372,0.7449910221959304
Fam101b,0.0599466666666677,0.819721299131532,0.617324509158322,0.785700012191881
Fam102a,-0.21019000000000077,-0.3171345387003674,0.5601876398970028,0.7484568390341575
Fam103a1,0.005983333333334784,0.03486665101541921,0.5502517766686364,0.7417895770827712
Fam104a,0.07615833333333259,0.5004648240091532,0.5759674754299655,0.7589035667095934
Fam105a,0.141118333333333,1.1943897839943174,0.6927869039443325,0.8323382148768207
Fam105b,-0.035703333333334086,-0.21855081490462186,0.5549066542028808,0.7449205690561114
Fam107b,0.05766742424242522,0.49362737236068244,0.5965068504229163,0.772180871076381
Fam109b,-0.09960499999999994,-0.6190377155028683,0.5884509776548343,0.7671055844242266
Fam110a,0.017863333333332676,0.13954478474596885,0.5520774830283133,0.7430191673357514
Fam110c,-0.08806333333333316,-0.7579196776938936,0.6149759329802592,0.783762583917147
Fam111a,0.01762166666666687,0.06944531102592805,0.5506124734556822,0.7420326633347635
Fam114a1,-0.22192666666666705,-2.439166750681621,1.2680504647988378,1.0988452582287285
Fam114a2,-0.037671999999999,-0.03235113801800539,0.5525274428605018,0.743320781137777
Fam115c,0.07075666666666613,0.5984332779590853,0.5859424471502189,0.7654687760779135
Fam117a,0.09763333333333257,0.46999880314525644,0.5722200958291307,0.7564523090249184
Fam117b,-0.16582000000000008,-3.9406200865539485,2.1029788749885783,1.450165119904826
Fam118a,-0.02505666666666606,-0.2936058528156853,0.5587506480140959,0.7474962528428459
Fam118b,0.030733333333333057,0.27405071765464,0.5576405879180356,0.7467533648521683
Fam120a,0.02808333333333331,0.2050354814907403,0.5931510282992095,0.7697902210728678
Fam120b,0.06926833333333171,0.848827299915589,0.6221809868415323,0.7887844996204808
Fam122a,-0.16362333333333323,-1.0139384810995644,0.6529373326787825,0.8080453778586835
Fam126a,0.12739666666666594,0.36427114861314647,0.5633995553045275,0.7505994639649881
Fam126b,0.2771066666666684,1.715334257192838,0.844367369723264,0.9188946456059388
Fam129a,-0.11629499999999915,-1.1442693469065832,0.6810654421603353,0.8252668914722893
Fam129b,-0.009524999999999118,-0.05623658839589575,0.5504464637207743,0.7419207934279605
Fam131a,-0.11158999999999786,-0.7462224480877427,0.6058150025363398,0.778341186457674
Fam132a,-0.06213401960784344,-0.42662492161556786,0.5963506228316461,0.7717578519446453
Fam133b,-0.055004999999999526,-1.7032624504456861,0.8402405058431577,0.9166463362950608
Fam134a,-0.058794999999998154,-0.7787256201179367,0.6107715674761398,0.7815187569573361
Fam134b,-0.004656333333333329,0.14041439395696798,0.570305516441483,0.7550770807103542
