MGI symbol,MoEx_CerCx_Enrich,MoEx_CerCx_Hedges_g,MoEx_CerCx_Var_g,MoEx_CerCx_SEg
Wdr89,0.08960833333333351,0.4582403623592153,0.49916535247459204,0.7065163497574505
Wdr90,-0.005604523809999762,-0.07632980301562037,0.4821521865690335,0.694371792751573
Wdr91,-0.1545533333333342,-0.9332440695989477,0.554245374453467,0.7444765775049387
Wdr92,0.11914666666666562,0.936325701088158,0.5547254848765192,0.7447989560119692
Wdr93,-0.1541905128200005,-2.5099435325692903,1.0066513780572004,1.0033201772401472
Wdr95,-0.09673333333333556,-1.080996579764343,0.5790461337885172,0.7609508090464963
Wdr96,0.032694999999999474,0.2549649488241391,0.48708392709407455,0.6979139825895986
Wdsub1,-0.014003333333333146,-0.06883363340664798,0.48206150575733,0.6943064926654006
Wdtc1,0.15907199999999833,1.505679889204441,0.6705893273962247,0.8188951870637808
Wdyhv1,-0.048560000000001935,-0.23140347141795403,0.4861289638820232,0.6972294915463797
Wee1,0.025630000003335596,0.35034289044486455,0.4918950117404385,0.7013522736403144
Wee2,-0.35147333333333375,-3.6864733788542936,1.614173831083449,1.2705014093197413
Wfdc1,0.34820111110999985,3.274854521814017,1.375389344920476,1.1727699454370732
Wfdc10,-0.14342222222333323,-2.003479917743527,0.8161609817334674,0.9034162837438051
Wfdc11,0.18555166666666612,0.5285042788992005,0.5049430644012303,0.7105934593009073
Wfdc12,-0.14998000000333178,-2.0800430907121843,0.8422149382682912,0.9177226913770254
Wfdc13,-0.21113083333333282,-2.0151577683860915,0.8200717359572343,0.9055781225036492
Wfdc15a,0.04191833333333328,0.2730304012252313,0.4878787999994342,0.6984832138279589
Wfdc15b,0.06020333333333383,0.49568022400972095,0.5021415737061938,0.7086194844246055
Wfdc16,0.2267008333333349,1.140100554739194,0.589985772909718,0.7681053136840794
Wfdc17,0.20443499999999926,0.7073819329083726,0.5233657665837653,0.7234402301391355
Wfdc18,-0.16604166666666664,-0.6626909251742161,0.5182632718590214,0.7199050436404939
Wfdc2,0.0012766666666665927,0.003671720896373284,0.48166779012786165,0.6940229031724109
Wfdc3,0.17736000000000018,0.5629168328146239,0.5080729467221705,0.712792358770891
Wfdc5,0.1450683333333327,1.242278944092179,0.6102714145778981,0.7811987036458126
Wfdc6a,-0.13646000000000047,-0.71478576739278,0.5242432244389403,0.7240464242290962
Wfdc6b,-0.01710888889333262,-0.05848434402385297,0.48195170154132494,0.6942274134182004
Wfdc8,0.13854166666666767,0.5328304455631507,0.5053256903099187,0.7108626381446128
Wfdc9,0.040103333333332714,0.16544302739318037,0.48394761627608496,0.6956634360637944
Wfikkn1,0.015564999999999607,0.12336161031897763,0.4829348405750408,0.6949351340773042
Wfikkn2,0.08799666666666628,0.41949260644948483,0.4963311705721485,0.7045077505408641
Wfs1,-0.021599999999999397,-0.1962684598154005,0.4848767756931924,0.6963309383426766
Whamm,-0.15871277777999993,-1.598579896072793,0.6946214736773417,0.8334395441046349
Whrn,0.04397999999999769,0.42568732550224603,0.49676747492443785,0.7048173344381067
Whsc1,-0.05359212121666701,-0.7494968467818188,0.528478793611324,0.7269654693390354
Whsc1l1,0.10189888888666943,0.9401286814161812,0.5553201614684439,0.7451980686156157
Wibg,0.0072611111100009396,0.05201660394700492,0.48189214392384816,0.6941845172026297
Wif1,-0.20175904761666796,-1.4458259780201035,0.655867729893149,0.8098566106991713
Wipf1,0.1386683333333334,0.7543039132839219,0.5290811994662865,0.727379680405142
Wipf2,0.036704999999999544,0.26207349831184756,0.4873902098764507,0.6981333754208079
Wipf3,0.3650690476199987,4.5957161464896075,2.2417172415921063,1.4972365349510097
Wipi1,-0.17938375000000129,-1.3634325865556745,0.636579034840158,0.797859031934939
Wipi2,0.02471878787666526,0.8639538545415378,0.5438680218980982,0.7374740821873662
Wisp1,0.22022222221666699,0.6961251209847297,0.5220491820055003,0.7225297101195911
Wisp2,0.03979380952333411,0.23880348248070718,0.48641892527040936,0.6974373988182806
Wisp3,0.18284333333333436,2.691663747136653,1.0854211439708106,1.0418354687621316
Wiz,-0.3527055555566676,-1.283599600407049,0.6189689945137612,0.7867458258635766
Wls,-0.3952426666666664,-4.8392167418241,2.433168222862555,1.5598616037528954
Wnk1,0.03327333336666527,0.38417959475381486,0.49396616341876703,0.7028272642824601
Wnk2,0.0663746666666647,0.7006959918710366,0.522581239418678,0.7228978070368439
Wnk3,-0.01709738095666502,-0.20355993927424565,0.4851197207397778,0.6965053630373408
Wnk4,0.021599259256666947,0.16293874529797278,0.4838790862266064,0.6956141791443058
Wnt1,-0.03965666666666756,-0.12448622341708517,0.4829580683183873,0.694951846042866
Wnt10a,0.15658190476000033,1.224833501182628,0.6066847588016078,0.7788997103617434
Wnt10b,-0.33688333333333365,-0.7236578449416818,0.5253067230454699,0.7247804654138175
Wnt11,0.3445399999999994,3.869416200592251,1.729365144450481,1.3150532857836905
Wnt16,0.10741000000000067,0.5822801189739536,0.5099208447460267,0.7140874209409004
Wnt2,0.27587200000000056,3.447858926199771,1.4723109312479534,1.213388203028179
Wnt2b,-0.28401777777333503,-1.66625516159002,0.7130338552937819,0.844413320177851
Wnt3,-0.021394999999999165,-0.12458040360577037,0.48296002308021463,0.6949532524423601
Wnt3a,0.15517444444666584,1.4430609617404135,0.6552020782749305,0.8094455375594646
Wnt4,-0.053473000000000326,-0.44189740778752745,0.49793944325077794,0.7056482432846963
Wnt5a,-0.1191898245633336,-1.8798616428598702,0.7761566496913174,0.8809975310358806
Wnt5b,0.20796222222333505,0.8386589398266125,0.5402790681125914,0.7350367801087176
Wnt6,-0.2207533333333327,-1.502475794372264,0.6697861260562137,0.8184046224553071
Wnt7a,0.24671999999999983,0.5197656910824202,0.5041796978021987,0.7100561229946537
Wnt7b,-0.11061083333333421,-0.8976143403379998,0.5488092919983685,0.7408166385809436
Wnt8a,0.07803083333333305,0.5035652143072302,0.5027981604216906,0.7090826188969029
Wnt8b,0.26863583333333363,1.6821716798901505,0.7174751300520374,0.8470390369115448
Wnt9a,-0.2895840000000005,-1.726717593194029,0.730129470553815,0.8544761380833377
Wnt9b,-0.01932555555333426,-0.167408181175257,0.4840021249270339,0.6957026124192965
Wrap53,0.09493428571333329,0.7086505662935235,0.5235154687590108,0.7235436882172429
Wrap73,0.12372866666666482,0.9482948423017199,0.5566052589946703,0.7460598226648251
