MGI symbol,430AV2_WB_B6_Enrich,430AV2_WB_B6_Hedges_g,430AV2_WB_B6_Var_g,430AV2_WB_B6_SEg
Avpi1,-0.14618999999999893,-1.7628495115628908,0.7406365333681268,0.8606024246817614
Avpr1a,-0.0351566666666665,-0.36639309974989326,0.5096392381978887,0.7136319180281246
Avpr1b,0.19289666666666694,0.5396534555608671,0.5059354876748986,0.7112914224668385
Avpr2,-0.04222333333333328,-0.27316099175796466,0.48788474395151615,0.6984874687147338
Axin1,-0.0586157142857144,-0.48930745127321856,0.5029799926158453,0.7091632437945107
Axin2,-0.032477407407407205,0.09460013665981992,0.6094160757596443,0.780630117608349
Axl,-0.050793333333332136,-0.2817389610188603,0.4882814035129988,0.6987713528136359
Aym1,-0.07777000000000012,-0.3405963777382275,0.49133382437736667,0.7009520842235699
Azgp1,0.11554999999999982,0.26538688964814733,0.4875358500997598,0.6982376745061525
Azi1,-0.03515666666666828,-0.1694043263318973,0.4840581521483302,0.6957428778998246
Azi2,0.023297499999999305,0.07302683530934061,0.4854549758888651,0.6967452437392931
Azin1,0.20486833333333232,0.7760822299397653,0.5349791924414242,0.7312224422940542
B020018G12Rik,-0.05102999999999991,-0.2352079965753918,0.4862769001377507,0.697335572115571
B230118H07Rik,-0.15400333333333194,-1.2444109120195004,0.6107132098294336,0.7814814200154946
B230120H23Rik,-0.010142500000000165,-0.0016594984274796304,0.49508611016949505,0.7035376926394834
B230219D22Rik,-0.04528333333333201,-0.7951452780037986,0.5343546677609782,0.7309956687703274
B2m,0.016925000000000523,0.5080217675361622,0.5481661530518896,0.7391854762073307
B3galnt1,-0.08614000000000033,-0.42469418844150114,0.496697096141332,0.7047674057029965
B3galnt2,-0.16809666666666634,-0.6988290867807272,0.5342244962631383,0.730287204587195
B3galt1,0.12321466666666651,0.2623184677533249,0.4887117800533154,0.6990689202638097
B3galt2,0.013501666666666523,-0.035202624996066134,0.4904174387430949,0.700296806935823
B3galt4,0.0452866666666667,0.1966899801544646,0.4848905790244302,0.6963408497456043
B3galt5,0.23384333333333363,0.3401740181610442,0.49130986355265244,0.7009349923870632
B3galt6,0.06848666666666636,0.26040814322440775,0.4893903797948172,0.6995473144904549
